Date,Open,High,Low,Close,Difference,Shares Traded,Turnover (Rs. Cr),EHL,VHL,HL,N,HP,VHP,EHP,Status
08-Jun-11,5535.25,5556.6,5514.9,5526.85,8.4,92928675,3869.33,0,0,0,1,0,0,0,3
09-Jun-11,5523.55,5540.1,5502.05,5521.05,2.5,87033655,3859.17,0,0,0,1,0,0,0,3
10-Jun-11,5518.05,5521.45,5457.45,5485.8,32.25,84190282,3995.15,0,0,0,0,1,0,0,4
13-Jun-11,5469.85,5496.7,5436.95,5482.8,-12.95,80104906,3807.22,0,0,0,1,0,0,0,3
14-Jun-11,5485.6,5520.15,5484.2,5500.5,-14.9,97840485,4714.26,0,0,0,1,0,0,0,3
15-Jun-11,5494.45,5499.35,5438.95,5447.5,46.95,95878889,4562.47,0,0,0,0,1,0,0,4
16-Jun-11,5419.65,5447.5,5389.8,5396.75,22.9,128063494,5341.03,0,0,0,0,1,0,0,4
17-Jun-11,5412.5,5421.15,5355.85,5366.4,46.1,97876272,4480.59,0,0,0,0,1,0,0,4
20-Jun-11,5372.2,5377.4,5195.9,5257.9,114.3,135334880,5956.17,0,0,0,0,0,1,0,5
21-Jun-11,5280.8,5322.45,5257,5275.85,4.95,107191673,4765.02,0,0,0,1,0,0,0,3
22-Jun-11,5304.65,5310.5,5262.5,5278.3,26.35,95769497,4151.39,0,0,0,0,1,0,0,4
23-Jun-11,5269.1,5330.6,5252.25,5320,-50.9,89001344,3756.75,0,1,0,0,0,0,0,1
24-Jun-11,5343.4,5477.85,5343.4,5471.25,-127.85,140100077,6791.8,0,1,0,0,0,0,0,1
27-Jun-11,5441.2,5552.65,5434.25,5526.6,-85.4,143402407,6707.54,0,1,0,0,0,0,0,1
28-Jun-11,5548.85,5558.3,5496.35,5545.3,3.55,114413706,5127.85,0,0,0,1,0,0,0,3
29-Jun-11,5566.5,5608.65,5566.5,5600.45,-33.95,124593981,5463.96,0,0,1,0,0,0,0,2
30-Jun-11,5614.5,5657.9,5606.1,5647.4,-32.9,179224275,8133.27,0,0,1,0,0,0,0,2
01-Jul-11,5705.75,5705.8,5609.75,5627.2,78.55,141092473,5590.28,0,0,0,0,0,1,0,5
04-Jul-11,5679.55,5679.65,5633.1,5650.5,29.05,103528865,4266.62,0,0,0,0,1,0,0,4
05-Jul-11,5659.85,5659.85,5612.3,5632.1,27.75,100776400,4938.19,0,0,0,0,1,0,0,4
06-Jul-11,5622.7,5655.4,5610.75,5625.45,-2.75,86109914,4239.98,0,0,0,1,0,0,0,3
07-Jul-11,5633.35,5737.15,5632.95,5728.95,-95.6,112220298,5439.55,0,1,0,0,0,0,0,1
08-Jul-11,5734.65,5740.4,5651.05,5660.65,74,129276449,5659.53,0,0,0,0,0,1,0,5
11-Jul-11,5648.05,5652.9,5601.7,5616.1,31.95,78899703,3579.63,0,0,0,0,1,0,0,4
12-Jul-11,5556.9,5580.25,5496.95,5526.15,30.75,104907108,5294.13,0,0,0,0,1,0,0,4
13-Jul-11,5542.05,5596.15,5541.4,5585.45,-43.4,106019573,4702.05,0,1,0,0,0,0,0,1
14-Jul-11,5569,5653.95,5541.7,5599.8,-30.8,123015471,5390.44,0,0,1,0,0,0,0,2
15-Jul-11,5602.95,5631.7,5562.75,5581.1,21.85,80426784,3668.42,0,0,0,0,1,0,0,4
18-Jul-11,5581.75,5596.6,5550.95,5567.05,14.7,73604991,3305.34,0,0,0,0,1,0,0,4
19-Jul-11,5569.85,5627.65,5557.2,5613.55,-43.7,86555649,3983.28,0,1,0,0,0,0,0,1
20-Jul-11,5642.05,5645.4,5555.1,5567.05,75,87093214,3825.45,0,0,0,0,0,1,0,5
21-Jul-11,5554.6,5578.9,5532.7,5541.6,13,76327640,3681.07,0,0,0,1,0,0,0,3
22-Jul-11,5576.95,5642.2,5567.1,5633.95,-57,106781617,5040.43,0,1,0,0,0,0,0,1
25-Jul-11,5633.8,5700.55,5616.7,5680.3,-46.5,142008190,5622.44,0,1,0,0,0,0,0,1
26-Jul-11,5688.45,5702.25,5560.15,5574.85,113.6,134108563,6270.33,0,0,0,0,0,1,0,5
